Alan Rick,dep.alanrick@camara.leg.br
Dra. Vanda Milani,dep.dra.vandamilani@camara.leg.br
Flaviano Melo,dep.flavianomelo@camara.leg.br
Jéssica Sales,dep.jessicasales@camara.leg.br
Jesus Sérgio,dep.jesussergio@camara.leg.br
Mara Rocha,dep.mararocha@camara.leg.br
Isnaldo Bulhões Jr.,dep.isnaldobulhoesjr@camara.leg.br
Marx Beltrão,dep.marxbeltrao@camara.leg.br
Nivaldo Albuquerque,dep.nivaldoalbuquerque@camara.leg.br
Pedro Vilela,dep.pedrovilela@camara.leg.br
Sergio Toledo,dep.sergiotoledo@camara.leg.br
Severino Pessoa,dep.severinopessoa@camara.leg.br
Tereza Nelma,dep.terezanelma@camara.leg.br
Átila Lins,dep.atilalins@camara.leg.br
Bosco Saraiva,dep.boscosaraiva@camara.leg.br
Delegado Pablo,dep.delegadopablo@camara.leg.br
Marcelo Ramos,dep.marceloramos@camara.leg.br
Sidney Leite,dep.sidneyleite@camara.leg.br
Silas Câmara,dep.silascamara@camara.leg.br
Acácio Favacho,dep.acaciofavacho@camara.leg.br
Aline Gurgel,dep.alinegurgel@camara.leg.br
André Abdon,dep.andreabdon@camara.leg.br
Leda Sadala,dep.ledasadala@camara.leg.br
Luiz Carlos,dep.luizcarlos@camara.leg.br
Professora Marcivania,dep.professoramarcivania@camara.leg.br
Vinicius Gurgel,dep.viniciusgurgel@camara.leg.br
Abílio Santana,dep.abiliosantana@camara.leg.br
Adolfo Viana,dep.adolfoviana@camara.leg.br
Alex Santana,dep.alexsantana@camara.leg.br
Antonio Brito,dep.antoniobrito@camara.leg.br
Cacá Leão,dep.cacaleao@camara.leg.br
Charles Fernandes,dep.charlesfernandes@camara.leg.br
Claudio Cajado,dep.claudiocajado@camara.leg.br
Daniel Almeida,dep.danielalmeida@camara.leg.br
Elmar Nascimento,dep.elmarnascimento@camara.leg.br
Igor Kannário,dep.igorkannario@camara.leg.br
João Carlos Bacelar,dep.joaocarlosbacelar@camara.leg.br
João Roma,dep.joaoroma@camara.leg.br
José Nunes,dep.josenunes@camara.leg.br
José Rocha,dep.joserocha@camara.leg.br
Leur Lomanto Júnior,dep.leurlomantojunior@camara.leg.br
Lídice da Mata,dep.lidicedamata@camara.leg.br
Marcelo Nilo,dep.marcelonilo@camara.leg.br
Márcio Marinho,dep.marciomarinho@camara.leg.br
Mário Negromonte Jr.,dep.marionegromontejr@camara.leg.br
Otto Alencar Filho,dep.ottoalencarfilho@camara.leg.br
Pastor Sargento Isidório,dep.pastorsargentoisidorio@camara.leg.br
Paulo Azi,dep.pauloazi@camara.leg.br
Paulo Magalhães,dep.paulomagalhaes@camara.leg.br
Professora Dayane Pimentel,dep.professoradayanepimentel@camara.leg.br
Raimundo Costa,dep.raimundocosta@camara.leg.br
Ronaldo Carletto,dep.ronaldocarletto@camara.leg.br
Sérgio Brito,dep.sergiobrito@camara.leg.br
Tito,dep.tito@camara.leg.br
Uldurico Junior,dep.ulduricojunior@camara.leg.br
Zé Neto,dep.zeneto@camara.leg.br
AJ Albuquerque,dep.ajalbuquerque@camara.leg.br
Aníbal Gomes,dep.anibalgomes@camara.leg.br
Capitão Wagner,dep.capitaowagner@camara.leg.br
Célio Studart,dep.celiostudart@camara.leg.br
Danilo Forte,dep.daniloforte@camara.leg.br
Domingos Neto,dep.domingosneto@camara.leg.br
Dr. Jaziel,dep.dr.jaziel@camara.leg.br
Eduardo Bismarck,dep.eduardobismarck@camara.leg.br
Genecias Noronha,dep.geneciasnoronha@camara.leg.br
GORETE PEREIRA,dep.goretepereira@camara.leg.br
Heitor Freire,dep.heitorfreire@camara.leg.br
Júnior Mano,dep.juniormano@camara.leg.br
Leônidas Cristino,dep.leonidascristino@camara.leg.br
Moses Rodrigues,dep.mosesrodrigues@camara.leg.br
Pedro Augusto Bezerra,dep.pedroaugustobezerra@camara.leg.br
Robério Monteiro,dep.roberiomonteiro@camara.leg.br
Vaidon Oliveira,dep.vaidonoliveira@camara.leg.br
Celina Leão,dep.celinaleao@camara.leg.br
Flávia Arruda,dep.flaviaarruda@camara.leg.br
Luis Miranda,dep.luismiranda@camara.leg.br
Amaro Neto,dep.amaroneto@camara.leg.br
Da Vitoria,dep.davitoria@camara.leg.br
